row_type,case_id,name,time_norm,a4_real,a4_imag,a8_real,a8_imag,a12_real,a12_imag,energy
acoustic_waveguide_412_timeseries,a001,phase_matched_64cell_baseline,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
acoustic_waveguide_412_timeseries,a001,phase_matched_64cell_baseline,0.64,1.3503853029462699e-24,1.9781261233482749e-25,8.81622921581283e-50,8.070643930998596e-50,-2.1791546181041603e-72,1.8386654618989403e-72,0.00010696285694974093
acoustic_waveguide_412_timeseries,a001,phase_matched_64cell_baseline,1.28,9.401777012255519e-24,3.1007635338307006e-24,-3.10835517541206e-48,9.725371741839436e-47,-7.132944397171237e-66,-4.1845453381270787e-66,0.0016577094080977711
acoustic_waveguide_412_timeseries,a001,phase_matched_64cell_baseline,1.92,3.8142707488202264e-23,2.13207334503443e-23,-1.325646404924781e-44,1.539459779936291e-44,-9.545108458429121e-62,-2.8038630719158056e-61,0.00814304634151202
acoustic_waveguide_412_timeseries,a001,phase_matched_64cell_baseline,2.56,1.2326292249081024e-22,1.049737449514994e-22,-1.828658452185119e-42,6.60546182530802e-43,1.7688977275168255e-58,-1.1225529747494617e-57,0.025000180254573744
acoustic_waveguide_412_timeseries,a001,phase_matched_64cell_baseline,3.2,3.432896753864119e-22,4.2817504258969385e-22,-1.0672677259157232e-40,-5.831121630311634e-42,5.315534487587566e-55,-9.473794586343062e-55,0.05933530312282197
acoustic_waveguide_412_timeseries,a001,phase_matched_64cell_baseline,3.84,8.3764597007724e-22,1.5393468292720648e-21,-3.5869579959822435e-39,-1.4210877886937532e-39,2.8002188323831555e-52,-2.816349146229075e-52,0.11967412855338537
acoustic_waveguide_412_timeseries,a001,phase_matched_64cell_baseline,4.48,1.754106966145071e-21,5.037384330207797e-21,-7.997710379199588e-38,-5.9773256804643e-38,5.986144836395633e-50,-3.8862571728800505e-50,0.21573600242576296
acoustic_waveguide_412_timeseries,a001,phase_matched_64cell_baseline,5.12,2.8794229070585797e-21,1.5295258775719746e-20,-1.2824174176092381e-36,-1.495200950321844e-36,6.800589184356527e-48,-2.9303990660403945e-48,0.35823163462679014
acoustic_waveguide_412_timeseries,a001,phase_matched_64cell_baseline,5.76,2.2059514738934453e-21,4.3639211746348934e-20,-1.5510218303619076e-35,-2.682578235443119e-35,4.770902635984977e-46,-1.327415184574955e-46,0.5586871073621281
acoustic_waveguide_412_timeseries,a001,phase_matched_64cell_baseline,6.4,-8.597783134552245e-21,1.1804726864263106e-19,-1.447157343312239e-34,-3.7515524705398365e-34,2.279372921636687e-44,-3.7344470718320074e-45,0.8292991177972957
acoustic_waveguide_412_timeseries,a001,phase_matched_64cell_baseline,7.04,-5.692831159369072e-20,3.047983263099338e-19,-1.0324747551084774e-33,-4.297159290531332e-33,7.945525011541907e-43,-5.964064162454832e-44,1.1828285769058167
acoustic_waveguide_412_timeseries,a001,phase_matched_64cell_baseline,7.68,-2.223306269097293e-19,7.551484243562795e-19,-5.169502002393415e-33,-4.1696478848014686e-32,2.126327727300616e-41,-1.107278510327072e-43,1.6325415979949236
acoustic_waveguide_412_timeseries,a001,phase_matched_64cell_baseline,8.32,-7.173108030115981e-19,1.802877135261201e-18,-9.785699469923746e-33,-3.513118151077991e-31,4.541749054430127e-40,2.2553270971763997e-41,2.1922084426481003
acoustic_waveguide_412_timeseries,a001,phase_matched_64cell_baseline,8.96,-2.0751839110894207e-18,4.162496712430948e-18,1.391481114674783e-31,-2.6193731055657816e-30,7.982276906952214e-39,7.348330521842928e-40,2.8761720718869945
acoustic_waveguide_412_timeseries,a001,phase_matched_64cell_baseline,9.6,-5.568791359039713e-18,9.321915451038011e-18,2.139145613478755e-30,-1.7544336381623622e-29,1.1827946492909082e-37,1.4638303399438926e-38,3.699498529357324
acoustic_waveguide_412_timeseries,a001,phase_matched_64cell_baseline,10.24,-1.4110415918121705e-17,2.0302705469577445e-17,1.9278792255682906e-29,-1.0685546207974462e-28,1.5071468849320997e-36,2.2019939985922794e-37,4.678221369287564
acoustic_waveguide_412_timeseries,a001,phase_matched_64cell_baseline,10.88,-3.4124336076995435e-17,4.3101974968930697e-17,1.3737814107947336e-28,-5.977663823286321e-28,1.6785595987176278e-35,2.6886149986291244e-36,5.829691457297911
acoustic_waveguide_412_timeseries,a001,phase_matched_64cell_baseline,11.52,-7.933136002987713e-17,8.937633750879863e-17,8.393024726950263e-28,-3.0972533901779774e-27,1.6563356018623029e-34,2.7643989563507515e-35,7.173041045617356
acoustic_waveguide_412_timeseries,a001,phase_matched_64cell_baseline,12.16,-1.7819705039505681e-16,1.8135454907071616e-16,4.5589875079868606e-27,-1.4969233923999725e-26,1.4647324503730139e-33,2.4474655956822704e-34,8.675135241651546
acoustic_waveguide_412_timeseries,a001,phase_matched_64cell_baseline,12.8,-3.882361973184066e-16,3.6069388767274534e-16,2.2476918827083796e-26,-6.78906793395426e-26,1.1721784220568585e-32,1.892914000772045e-33,10.287993301788942
acoustic_waveguide_412_timeseries,a001,phase_matched_64cell_baseline,13.44,-8.228684248567797e-16,7.042287736126463e-16,1.0194591230970891e-25,-2.9043328055897433e-25,8.560180968747643e-32,1.2903097556558106e-32,12.013025812209978
acoustic_waveguide_412_timeseries,a001,phase_matched_64cell_baseline,14.08,-1.7007798901838018e-15,1.3516296381583481e-15,4.294597622268024e-25,-1.1771716419246745e-24,5.745999854802359e-31,7.781092978749857e-32,13.855207567365259
acoustic_waveguide_412_timeseries,a001,phase_matched_64cell_baseline,14.72,-3.4348622894979677e-15,2.5534328172691644e-15,1.6924618375080235e-24,-4.5380344304491054e-24,3.567620565622052e-30,4.140305346450261e-31,15.822577358529974
acoustic_waveguide_412_timeseries,a001,phase_matched_64cell_baseline,15.36,-6.789474038843966e-15,4.753581914857957e-15,6.274737634614142e-24,-1.6695355149136944e-23,2.0602706273086054e-29,1.917803669710944e-30,17.925502913820626
acoustic_waveguide_412_timeseries,a001,phase_matched_64cell_baseline,16.0,-1.315358719499026e-14,8.729913013900935e-15,2.1983435728672724e-23,-5.879099794773985e-23,1.112049119283013e-28,7.43920230524685e-30,20.175681058543212
