 time            time            v(n1)           v(n2)           v(n3)           i(L1)           i(L2)           i(L3)
 3.55113636e-07  3.55113636e-07  5.80389326e-11  1.10014348e-12  3.00125010e-14  1.57507276e-15  4.73608313e-17  2.13510399e-18
 3.57274536e-07  3.57274536e-07  5.83964340e-11  1.10688248e-12  3.01963013e-14  1.58471626e-15  4.76507898e-17  2.14817587e-18
 3.61596335e-07  3.61596335e-07  5.91219165e-11  1.12047833e-12  3.05664525e-14  1.60414703e-15  4.82349711e-17  2.17451192e-18
 3.70239934e-07  3.70239934e-07  6.06239044e-11  1.14831918e-12  3.13212374e-14  1.64371888e-15  4.94241716e-17  2.22812188e-18
 3.87527131e-07  3.87527131e-07  6.38450974e-11  1.20724029e-12  3.29006114e-14  1.72598414e-15  5.18928055e-17  2.33936986e-18
 4.22101524e-07  4.22101524e-07  7.12143207e-11  1.34100588e-12  3.64276573e-14  1.90469468e-15  5.72357480e-17  2.57970246e-18
 4.91250312e-07  4.91250312e-07  9.00902499e-11  1.68579490e-12  4.54798193e-14  2.33330939e-15  6.99675647e-17  3.14960164e-18
 5.76911455e-07  5.76911455e-07  1.22211766e-10  2.28077785e-12  6.12708687e-14  3.03749992e-15  9.07869750e-17  4.07701921e-18
 6.69036665e-07  6.69036665e-07  1.69207143e-10  3.16232169e-12  8.49879216e-14  4.08066381e-15  1.21627458e-16  5.44913328e-18
 7.60373150e-07  7.60373150e-07  2.30385284e-10  4.32095341e-12  1.16492634e-13  5.49802788e-15  1.63665672e-16  7.32274349e-18
 8.52118436e-07  8.52118436e-07  3.08410658e-10  5.80952300e-12  1.57294122e-13  7.41380597e-15  2.20753438e-16  9.87549109e-18
 9.42428539e-07  9.42428539e-07  4.03354836e-10  7.63142308e-12  2.07545323e-13  9.89985538e-15  2.95212644e-16  1.32177606e-17
 1.03318976e-06  1.03318976e-06  5.18841449e-10  9.85805070e-12  2.69273279e-13  1.31312238e-14  3.92482064e-16  1.76008900e-17
 1.12429933e-06  1.12429933e-06  6.56956722e-10  1.25315920e-11  3.43701054e-13  1.72613778e-14  5.17400297e-16  2.32509220e-17
 1.21634969e-06  1.21634969e-06  8.21070875e-10  1.57192078e-11  4.32757192e-13  2.25010829e-14  6.76580672e-16  3.04757295e-17
 1.30946869e-06  1.30946869e-06  1.01428192e-09  1.94830276e-11  5.38236114e-13  2.90773925e-14  8.77182831e-16  3.96098979e-17
 1.40380171e-06  1.40380171e-06  1.24003435e-09  2.38920985e-11  6.62124592e-13  3.72544178e-14  1.12754613e-15  5.10434844e-17
 1.50166939e-06  1.50166939e-06  1.50851905e-09  2.91478228e-11  8.10161827e-13  4.75924514e-14  1.44517248e-15  6.55885577e-17
 1.60726703e-06  1.60726703e-06  1.84017101e-09  3.56539312e-11  9.93824800e-13  6.11797496e-14  1.86401270e-15  8.48187436e-17
 1.71899388e-06  1.71899388e-06  2.24181535e-09  4.35487908e-11  1.21715451e-12  7.87028784e-14  2.40588663e-15  1.09759995e-16
 1.83967702e-06  1.83967702e-06  2.73839599e-09  5.33279277e-11  1.49432277e-12  1.01795478e-13  3.12214031e-15  1.42806202e-16
 1.96784527e-06  1.96784527e-06  3.34209144e-09  6.52371745e-11  1.83246963e-12  1.31739133e-13  4.05354678e-15  1.85876193e-16
 2.10569697e-06  2.10569697e-06  4.08529147e-09  7.99223186e-11  2.25013947e-12  1.71079208e-13  5.28054286e-15  2.42736174e-16
 2.25241805e-06  2.25241805e-06  4.99066318e-09  9.78390583e-11  2.76052764e-12  2.22244531e-13  6.88043538e-15  3.17026163e-16
 2.40985289e-06  2.40985289e-06  6.10246645e-09  1.19872183e-10  3.38910169e-12  2.89347964e-13  8.98374225e-15  4.14877654e-16
 2.57771341e-06  2.57771341e-06  7.45905477e-09  1.46792001e-10  4.15812537e-12  3.76815653e-13  1.17315493e-14  5.42941329e-16
 2.75760592e-06  2.75760592e-06  9.12266209e-09  1.79845152e-10  5.10356379e-12  4.91428052e-13  1.53397576e-14  7.11386557e-16
 2.93508744e-06  2.93508744e-06  1.09907078e-08  2.17001400e-10  6.16757474e-12  6.28551602e-13  1.96648822e-14  9.13603527e-16
 3.11082792e-06  3.11082792e-06  1.30763920e-08  2.58526743e-10  7.35787730e-12  7.90930549e-13  2.47951245e-14  1.15377721e-15
 3.28224151e-06  3.28224151e-06  1.53502686e-08  3.03837268e-10  8.65780812e-12  9.77893093e-13  3.07106760e-14  1.43103323e-15
 3.44996643e-06  3.44996643e-06  1.78167849e-08  3.53022969e-10  1.00699821e-11  1.19122403e-12  3.74691852e-14  1.74811743e-15
 3.61443115e-06  3.61443115e-06  2.04792569e-08  4.06151300e-10  1.15963811e-11  1.43264694e-12  4.51263899e-14  2.10768719e-15
 3.77622467e-06  3.77622467e-06  2.33454129e-08  4.63377785e-10  1.32415209e-11  1.70433399e-12  5.37522911e-14  2.51307126e-15
 3.94502828e-06  3.94502828e-06  2.66089746e-08  5.28574723e-10  1.51168412e-11  2.02736924e-12  6.40182487e-14  2.99589372e-15
 4.11943945e-06  4.11943945e-06  3.02872046e-08  6.02093954e-10  1.72326615e-11  2.40748423e-12  7.61091725e-14  3.56495378e-15
 4.30310579e-06  4.30310579e-06  3.45121834e-08  6.86583603e-10  1.96654286e-11  2.86335776e-12  9.06225198e-14  4.24849359e-15
 4.49407799e-06  4.49407799e-06  3.93046599e-08  7.82467772e-10  2.24276215e-11  3.40332520e-12  1.07827503e-13  5.05933488e-15
 4.69452727e-06  4.69452727e-06  4.47925407e-08  8.92315386e-10  2.55935390e-11  4.04901896e-12  1.28417757e-13  6.03032947e-15
 4.90317059e-06  4.90317059e-06  5.10246502e-08  1.01711452e-09  2.91919720e-11  4.81477112e-12  1.52855281e-13  7.18344871e-15
