 time            time            v(n1)           v(n2)           v(n3)           i(L1)           i(L2)           i(L3)
 1.56250000e-10  1.56250000e-10  5.85658984e-12  1.55198776e-18 -5.24019418e-22  3.61261555e-17 -2.12442985e-19  1.10835756e-21
 3.12500000e-10  3.12500000e-10  2.92829259e-11  1.03467871e-17 -3.66688396e-21  2.16755896e-16 -1.27461169e-18  6.64984315e-21
 6.25000000e-10  6.25000000e-10  1.60470057e-10  1.01736491e-16 -3.30878790e-20  1.54906734e-15 -9.10833808e-18  4.75187231e-20
 1.25000000e-09  1.25000000e-09  1.16497605e-09  3.58504395e-15 -7.34123476e-19  1.98608305e-14 -1.16691125e-16  6.08735889e-19
 2.50000000e-09  2.50000000e-09  9.16463684e-09  3.20147848e-13 -9.81005303e-18  3.05832834e-13 -1.78012810e-15  9.28500594e-18
 3.65912953e-09  3.65912953e-09  2.76590189e-08  9.69777883e-12  6.18783874e-15  1.24637513e-12 -6.73638381e-15  3.56955004e-17
 4.70947542e-09  4.70947542e-09  5.72944633e-08  5.33004652e-11  7.56814584e-14  3.13092856e-12 -1.48076997e-14  8.41742203e-17
 5.66073200e-09  5.66073200e-09  9.76523218e-08  1.80169422e-10  4.80218183e-13  6.16599877e-12 -2.30757592e-14  1.64895293e-16
 6.56604195e-09  6.56604195e-09  1.50504969e-07  4.86670402e-10  2.25078566e-12  1.07276501e-11 -2.47345067e-14  3.43368580e-16
 7.45066878e-09  7.45066878e-09  2.18015706e-07  1.14130315e-09  8.47175801e-12  1.72958514e-11 -4.63587713e-15  8.72343476e-16
 8.32217195e-09  8.32217195e-09  3.01965584e-07  2.41167539e-09  2.70032994e-11  2.63828605e-11  6.62736521e-14  2.52504567e-15
 9.17883249e-09  9.17883249e-09  4.03339818e-07  4.68411615e-09  7.53391323e-11  3.84592062e-11  2.36588867e-13  7.27634163e-15
 1.00180337e-08  1.00180337e-08  5.22638898e-07  8.48324912e-09  1.88488654e-10  5.39529842e-11  5.80198240e-13  1.95270975e-14
 1.08388904e-08  1.08388904e-08  6.60223797e-07  1.44966815e-08  4.31139040e-10  7.32756298e-11  1.20318305e-12  4.81563164e-14
 1.17260619e-08  1.17260619e-08  8.34197663e-07  2.44909589e-08  9.49013259e-10  9.96317239e-11  2.39047746e-12  1.17700369e-13
 1.25292777e-08  1.25292777e-08  1.01604805e-06  3.82907475e-08  1.87755195e-09  1.29142960e-10  4.16844414e-12  2.48511227e-13
 1.33701076e-08  1.33701076e-08  1.23304642e-06  5.95859913e-08  3.70913250e-09  1.66655199e-10  7.11923626e-12  5.20904414e-13
 1.41420522e-08  1.41420522e-08  1.45781045e-06  8.76160771e-08  6.74029361e-09  2.07821800e-10  1.12415486e-11  9.91072472e-13
 1.49364891e-08  1.49364891e-08  1.71630317e-06  1.27769227e-07  1.21095500e-08  2.57756685e-10  1.74970025e-11  1.86542608e-12
 1.56250000e-08  1.56250000e-08  1.96387778e-06  1.74674166e-07  1.96976495e-08  3.07892474e-10  2.51446714e-11  3.14374971e-12
 1.56994383e-08  1.56994383e-08  1.99210133e-06  1.80613168e-07  2.07477241e-08  3.13739963e-10  2.61158136e-11  3.31693693e-12
 1.58483148e-08  1.58483148e-08  2.04920399e-06  1.92904812e-07  2.29703788e-08  3.25635892e-10  2.81389992e-11  3.68580411e-12
 1.61460679e-08  1.61460679e-08  2.16659875e-06  2.19577045e-07  2.80602401e-08  3.50414691e-10  3.26014425e-11  4.54464846e-12
 1.65432809e-08  1.65432809e-08  2.33017469e-06  2.60062561e-07  3.64715838e-08  3.85657440e-10  3.95452474e-11  6.00034209e-12
 1.72684746e-08  1.72684746e-08  2.65034751e-06  3.50797947e-07  5.80613091e-08  4.56941038e-10  5.58053115e-11  9.93681526e-12
 1.79498954e-08  1.79498954e-08  2.97775115e-06  4.60400195e-07  8.87159854e-08  5.32676809e-10  7.62734170e-11  1.57632891e-11
 1.85961592e-08  1.85961592e-08  3.31341654e-06  5.92070099e-07  1.31636526e-07  6.12952062e-10  1.01530513e-10  2.40776672e-11
