 time            time            v(n1)           v(n2)           v(n3)           i(L1)           i(L2)           i(L3)
 1.56250000e-10  1.56250000e-10  5.80118004e-12  1.15566796e-13  3.31507173e-15  3.57801704e-17  1.14142278e-18  5.38469231e-20
 3.12500000e-10  3.12500000e-10  2.90050402e-11  5.79548290e-13  1.66705817e-14  2.14674771e-16  6.86857094e-18  3.24692735e-19
 6.25000000e-10  6.25000000e-10  1.58942232e-10  3.18615547e-12  9.19799639e-14  1.53415039e-15  4.92552624e-17  2.33521257e-18
 1.25000000e-09  1.25000000e-09  1.15383985e-09  2.32218971e-11  6.73040909e-13  1.96687674e-14  6.34609905e-16  3.02039027e-17
 2.50000000e-09  2.50000000e-09  9.07681937e-09  1.83111007e-10  5.31932941e-12  3.02867369e-13  9.80226692e-15  4.67639283e-16
 3.66015625e-09  3.66015625e-09  2.74173281e-08  5.53478008e-10  1.60880719e-11  1.23573517e-12  4.00262821e-14  1.91065216e-15
 4.71229345e-09  4.71229345e-09  5.68476016e-08  1.14794265e-09  3.33750481e-11  3.10811519e-12  1.00711316e-13  4.80864438e-15
 5.66577120e-09  5.66577120e-09  9.69745674e-08  1.95855921e-09  5.69472292e-11  6.12808307e-12  1.98608843e-13  9.48410563e-15
 6.57346588e-09  6.57346588e-09  1.49567024e-07  3.02103189e-09  8.78398162e-11  1.06717955e-11  3.45916314e-13  1.65193883e-14
 7.46049034e-09  7.46049034e-09  2.16777462e-07  4.37879979e-09  1.27311482e-10  1.72186315e-11  5.58175537e-13  2.66562655e-14
 8.33434750e-09  8.33434750e-09  3.00378429e-07  6.06760304e-09  1.76395257e-10  2.62803109e-11  8.51972818e-13  4.06859342e-14
 9.19331992e-09  9.19331992e-09  4.01353282e-07  8.10721428e-09  2.35658374e-10  3.83275170e-11  1.24255807e-12  5.93351993e-14
 1.00348216e-08  1.00348216e-08  5.20205232e-07  1.05076860e-08  3.05384239e-10  5.37893851e-11  1.74382725e-12  8.32655881e-14
 1.08580150e-08  1.08580150e-08  6.57300573e-07  1.32762876e-08  3.85774367e-10  7.30794961e-11  2.36916468e-12  1.13113548e-13
 1.17477464e-08  1.17477464e-08  8.30666788e-07  1.67768496e-08  4.87375544e-10  9.93987030e-11  3.22228929e-12  1.53825028e-13
