 time            time            v(n1)           v(n2)           v(n3)           i(L1)           i(L2)           i(L3)
 1.56250000e-10  1.56250000e-10  5.85658984e-12  1.55198776e-18 -5.24019418e-22  3.61261555e-17 -2.12442985e-19  1.10835756e-21
 3.12500000e-10  3.12500000e-10  2.92829259e-11  9.38253407e-18 -3.66798537e-21  2.16755896e-16 -1.27462297e-18  6.64990199e-21
 6.25000000e-10  6.25000000e-10  1.60470057e-10  6.79878171e-17 -3.31433555e-20  1.54906734e-15 -9.10883219e-18  4.75212998e-20
 1.25000000e-09  1.25000000e-09  1.16497605e-09  9.15240006e-16 -7.47826038e-19  1.98608308e-14 -1.16766965e-16  6.09130950e-19
 2.50000000e-09  2.50000000e-09  9.16463684e-09  1.55879451e-14 -2.25864753e-17  3.05832888e-13 -1.79736456e-15  9.37381245e-18
 3.65912955e-09  3.65912955e-09  2.76590186e-08  6.72252839e-14 -1.19551290e-16  1.24637696e-12 -7.32301000e-15  3.81843447e-17
 4.70947565e-09  4.70947565e-09  5.72944623e-08  1.75998177e-13 -3.54314436e-16  3.13093998e-12 -1.83917761e-14  9.58836424e-17
 5.66073325e-09  5.66073325e-09  9.76523285e-08  3.57588501e-13 -7.90916214e-16  6.16604301e-12 -3.62137323e-14  1.88765167e-16
 6.56604667e-09  6.56604667e-09  1.50505023e-07  6.36181170e-13 -1.53131018e-15  1.07277903e-11 -6.29937311e-14  3.28299731e-16
 7.45068307e-09  7.45068307e-09  2.18015945e-07  1.03440011e-12 -2.71792196e-15  1.72962477e-11 -1.01545572e-13  5.29118733e-16
 8.32220943e-09  8.32220943e-09  3.01966430e-07  1.56077876e-12 -4.52684145e-15  2.63838974e-11 -1.54872454e-13  8.06824241e-16
 9.17892095e-09  9.17892095e-09  4.03342468e-07  2.19684245e-12 -7.15286842e-15  3.84617564e-11 -2.25734728e-13  1.17573618e-15
 1.00182257e-08  1.00182257e-08  5.22646413e-07  2.89464297e-12 -1.08047474e-14  5.39589353e-11 -3.16648991e-13  1.64888821e-15
 1.08392787e-08  1.08392787e-08  6.60243255e-07  3.59144321e-12 -1.57077063e-14  7.32888738e-11 -4.30042941e-13  2.23883419e-15
 1.17265932e-08  1.17265932e-08  8.34198021e-07  4.35064155e-12 -2.28963111e-14  9.96535969e-11 -5.84703767e-13  3.04317069e-15
 1.25301605e-08  1.25301605e-08  1.01603916e-06  4.77694247e-12 -3.14948612e-14  1.29183405e-10 -7.57945251e-13  3.94378645e-15
 1.33715386e-08  1.33715386e-08  1.23300052e-06  5.89313595e-12 -4.31142052e-14  1.66728549e-10 -9.78200756e-13  5.08834033e-15
 1.41444195e-08  1.41444195e-08  1.45773924e-06  4.50220920e-12 -5.66115037e-14  2.07956099e-10 -1.22014250e-12  6.34506060e-15
 1.49403905e-08  1.49403905e-08  1.71620389e-06  1.53908436e-11 -7.38544183e-14  2.58003881e-10 -1.51346123e-12  7.86797937e-15
 1.56250000e-08  1.56250000e-08  1.96153792e-06 -5.10937067e-11 -9.19487103e-14  3.07844616e-10 -1.80785219e-12  9.39587864e-15
 1.56996671e-08  1.56996671e-08  1.98972360e-06  3.55067341e-11 -9.41064012e-14  3.13706200e-10 -1.84208693e-12  9.57351105e-15
 1.58490013e-08  1.58490013e-08  2.04673985e-06 -1.19898306e-09 -9.88832371e-14  3.25630910e-10 -1.92002213e-12  9.97810444e-15
 1.60863699e-08  1.60863699e-08  2.13949446e-06  1.47433137e-08 -9.92225494e-14  3.45255323e-10 -1.87769920e-12  9.75402574e-15
 1.61982364e-08  1.61982364e-08  2.18414094e-06 -4.80956979e-08 -1.15178449e-13  3.54801103e-10 -2.22088216e-12  1.15428255e-14
 1.63205731e-08  1.63205731e-08  2.23366912e-06 -1.35818836e-07 -1.59921674e-13  3.65467350e-10 -3.20850863e-12  1.66932478e-14
 1.63427593e-08  1.63427593e-08  2.24273028e-06  1.14283453e-07 -1.77825594e-13  3.67426119e-10 -3.07774328e-12  1.60104577e-14
 1.63683238e-08  1.63683238e-08  2.25320154e-06  4.35281494e-07 -1.59227042e-13  3.69691592e-10 -2.49119415e-12  1.29495996e-14
 1.63965215e-08  1.63965215e-08  2.26478920e-06  8.04572538e-07 -9.47928242e-14  3.72200551e-10 -1.16397350e-12  6.02445491e-15
 1.64292682e-08  1.64292682e-08  2.27829626e-06  1.24288189e-06  4.77080326e-14  3.75127475e-10  1.34592880e-12 -7.07084485e-15
 1.64328444e-08  1.64328444e-08  2.27977459e-06  7.82473366e-07  3.17622544e-13  3.75448361e-10  1.55952886e-12 -8.18516543e-15
 1.64369901e-08  1.64369901e-08  2.28148911e-06  2.10392823e-07  4.28716614e-13  3.75820974e-10  1.68709319e-12 -8.85053487e-15
 1.64418994e-08  1.64418994e-08  2.28352061e-06 -4.83707519e-07  4.73572842e-13  3.76263263e-10  1.62320999e-12 -8.51696804e-15
 1.64464729e-08  1.64464729e-08  2.28541422e-06 -1.13671997e-06  4.64516486e-13  3.76676341e-10  1.33958301e-12 -7.03691085e-15
 1.64556200e-08  1.64556200e-08  2.28920457e-06 -2.44905998e-06  3.12914066e-13  3.77505598e-10  1.03301993e-13 -5.86286222e-16
 1.64674698e-08  1.64674698e-08  2.29412116e-06 -4.15735156e-06 -3.29715266e-13  3.78586075e-10 -2.83660241e-12  1.47523687e-14
 1.64681014e-08  1.64681014e-08  2.29438341e-06 -8.98920386e-07 -3.73435663e-13  3.78643392e-10 -2.88493462e-12  1.50045108e-14
 1.64687389e-08  1.64687389e-08  2.29464817e-06  2.50475771e-06 -1.92486345e-13  3.78700911e-10 -2.82187950e-12  1.46755037e-14
 1.64691818e-08  1.64691818e-08  2.29483207e-06  4.89739688e-06  3.72699433e-13  3.78740605e-10 -2.69413246e-12  1.40089991e-14
 1.64697451e-08  1.64697451e-08  2.29506603e-06  7.95120262e-06  2.10860484e-12  3.78790764e-10 -2.42096999e-12  1.25838800e-14
 1.64704259e-08  1.64704259e-08  2.29534880e-06  1.16466474e-05  6.91716093e-12  3.78850861e-10 -1.92070586e-12  9.97416946e-15
 1.64716158e-08  1.64716158e-08  2.29584309e-06  1.81101360e-05  2.59330049e-11  3.78954515e-10 -5.94877720e-13  3.05917793e-15
 1.64735220e-08  1.64735220e-08  2.29663506e-06  2.84715632e-05  1.00255518e-10  3.79116891e-10  2.72910413e-12 -1.42683577e-14
 1.64773343e-08  1.64773343e-08  2.29821961e-06  4.92169909e-05  5.03879494e-10  3.79428053e-10  1.38169819e-11 -7.19734970e-14
 1.64849589e-08  1.64849589e-08  2.30139108e-06  9.07946728e-05  3.07706273e-09  3.79995914e-10  5.37875173e-11 -2.78775726e-13
 1.64851391e-08  1.64851391e-08  2.30146606e-06  2.74033927e-05 -3.02045448e-07  3.80011087e-10  5.41701335e-11 -2.86912668e-13
 1.64853088e-08  1.64853088e-08  2.30153665e-06 -3.32297696e-05 -6.86929929e-07  3.80027008e-10  5.40034785e-11 -2.96992500e-13
 1.64853375e-08  1.64853375e-08  2.30154860e-06 -4.35625245e-05 -8.05017329e-07  3.80029881e-10  5.39180646e-11 -2.99113182e-13
 1.64853762e-08  1.64853762e-08  2.30156470e-06 -5.74944662e-05 -1.04798911e-06  3.80033853e-10  5.37702305e-11 -3.02578092e-13
 1.64854118e-08  1.64854118e-08  2.30157953e-06 -7.03275120e-05 -1.39379329e-06  3.80037620e-10  5.35992455e-11 -3.06826992e-13
 1.64854564e-08  1.64854564e-08  2.30159805e-06 -8.63566512e-05 -2.04041797e-06  3.80042472e-10  5.33379368e-11 -3.14498419e-13
