 time            time            v(n1)           v(n2)           v(n3)           i(L1)           i(L2)           i(L3)
 8.68055556e-04  8.68055556e-04  5.83767272e-12  1.88566992e-14  6.11114480e-17  6.48152428e-15  2.88859225e-17  4.21463946e-19
 8.69584626e-04  8.69584626e-04  5.84799203e-12  1.88899735e-14  6.12196937e-17  6.49296160e-15  2.89368942e-17  4.22207669e-19
 8.72642768e-04  8.72642768e-04  5.86871806e-12  1.89566663e-14  6.14359192e-17  6.51588488e-15  2.90390520e-17  4.23698279e-19
 8.78759051e-04  8.78759051e-04  5.91059139e-12  1.90907634e-14  6.18686041e-17  6.56196690e-15  2.92443931e-17  4.26694709e-19
 8.90991617e-04  8.90991617e-04  5.99609524e-12  1.93620465e-14  6.27362293e-17  6.65512200e-15  2.96592869e-17  4.32750808e-19
 9.15456749e-04  9.15456749e-04  6.17430611e-12  1.99182531e-14  6.45034009e-17  6.84557102e-15  3.05058822e-17  4.45123965e-19
 9.64387013e-04  9.64387013e-04  6.56061600e-12  2.10943877e-14  6.82000841e-17  7.24428640e-15  3.22663009e-17  4.70974383e-19
 1.06224754e-03  1.06224754e-03  7.46114467e-12  2.37649031e-14  7.64557270e-17  8.12360246e-15  3.60700898e-17  5.27626318e-19
 1.16328150e-03  1.16328150e-03  8.58375274e-12  2.70592147e-14  8.64384009e-17  9.16501192e-15  4.04403355e-17  5.94001855e-19
 1.27556241e-03  1.27556241e-03  1.00824574e-11  3.14836613e-14  9.96742434e-17  1.05127662e-14  4.59311983e-17  6.78791739e-19
 1.38807136e-03  1.38807136e-03  1.18730098e-11  3.68447610e-14  1.15703397e-16  1.21019127e-14  5.22578213e-17  7.77506552e-19
 1.50154031e-03  1.50154031e-03  1.39969046e-11  4.33105612e-14  1.35208393e-16  1.39900262e-14  5.96761569e-17  8.93650632e-19
 1.61705624e-03  1.61705624e-03  1.65139956e-11  5.11029033e-14  1.59012806e-16  1.62563770e-14  6.85485259e-17  1.03221934e-18
 1.74032460e-03  1.74032460e-03  1.96262164e-11  6.08958436e-14  1.89351245e-16  1.91206513e-14  7.98182243e-17  1.20696313e-18
 1.86921669e-03  1.86921669e-03  2.33867118e-11  7.29127746e-14  2.27180666e-16  2.26851044e-14  9.40167876e-17  1.42482660e-18
 2.00757964e-03  2.00757964e-03  2.80428555e-11  8.80090135e-14  2.75423052e-16  2.72602998e-14  1.12577717e-16  1.70602876e-18
 2.15348906e-03  2.15348906e-03  3.36986593e-11  1.06595920e-13  3.35690837e-16  3.30527029e-14  1.36615104e-16  2.06517406e-18
 2.30982083e-03  2.30982083e-03  4.06701415e-11  1.29796399e-13  4.12012874e-16  4.05283710e-14  1.68444598e-16  2.53405512e-18
