 time            time            v(n1)           v(n2)           v(n3)           i(L1)           i(L2)           i(L3)
 8.68055556e-04  8.68055556e-04  5.83847621e-12  1.80582900e-14  5.60307786e-17  6.48242402e-15  2.53010046e-17  3.93792672e-19
 8.69585387e-04  8.69585387e-04  5.84880210e-12  1.80901733e-14  5.61296796e-17  6.49386863e-15  2.53456727e-17  3.94487906e-19
 8.72645051e-04  8.72645051e-04  5.86954136e-12  1.81540780e-14  5.63278235e-17  6.51680655e-15  2.54351966e-17  3.95881327e-19
 8.78764379e-04  8.78764379e-04  5.91144163e-12  1.82825519e-14  5.67256455e-17  6.56291812e-15  2.56151414e-17  3.98682441e-19
 8.91003034e-04  8.91003034e-04  5.99700143e-12  1.85422832e-14  5.75239097e-17  6.65613345e-15  2.59786991e-17  4.04344158e-19
 9.15480344e-04  9.15480344e-04  6.17533355e-12  1.90733639e-14  5.91477289e-17  6.84670780e-15  2.67202702e-17  4.15913777e-19
 9.64434965e-04  9.64434965e-04  6.56193040e-12  2.01856799e-14  6.25079601e-17  7.24569576e-15  2.82590171e-17  4.40094542e-19
 1.06234421e-03  1.06234421e-03  7.46325587e-12  2.26418870e-14  6.98196171e-17  8.12566815e-15  3.15447805e-17  4.93138345e-19
 1.16318434e-03  1.16318434e-03  8.58407981e-12  2.55496660e-14  7.82837499e-17  9.16523813e-15  3.52050906e-17  5.55192317e-19
 1.27536745e-03  1.27536745e-03  1.00817513e-11  2.93253312e-14  8.90797030e-17  1.05117820e-14  3.96037446e-17  6.34565633e-19
 1.38776906e-03  1.38776906e-03  1.18708088e-11  3.37873545e-14  1.01618765e-16  1.20991951e-14  4.43805519e-17  7.26790652e-19
 1.50119839e-03  1.50119839e-03  1.39941577e-11  3.91030915e-14  1.16271394e-16  1.39862857e-14  4.96378039e-17  8.34722672e-19
 1.61672625e-03  1.61672625e-03  1.65118263e-11  4.54975510e-14  1.33597915e-16  1.62525118e-14  5.55539418e-17  9.62213630e-19
 1.74002875e-03  1.74002875e-03  1.96254634e-11  5.35903195e-14  1.55381417e-16  1.91173645e-14  6.26862857e-17  1.12074993e-18
 1.86899849e-03  1.86899849e-03  2.33891182e-11  6.36713684e-14  1.82494258e-16  2.26841298e-14  7.13551097e-17  1.31512309e-18
 2.00746153e-03  2.00746153e-03  2.80500207e-11  7.66131315e-14  2.17377727e-16  2.72635276e-14  8.25276253e-17  1.56130756e-18
 2.15351575e-03  2.15351575e-03  3.37134637e-11  9.29920653e-14  2.61965462e-16  3.30637975e-14  9.71477205e-17  1.86984160e-18
 2.31002642e-03  2.31002642e-03  4.06958304e-11  1.14106031e-13  3.20338983e-16  4.05521699e-14  1.17181207e-16  2.26564132e-18
 2.47586869e-03  2.47586869e-03  4.91999907e-11  1.41076072e-13  3.96737036e-16  5.01388074e-14  1.45015518e-16  2.77216598e-18
 2.65338649e-03  2.65338649e-03  5.96538424e-11  1.75930774e-13  4.98444265e-16  6.25646447e-14  1.84837491e-16  3.43338172e-18
 2.84210534e-03  2.84210534e-03  7.24082422e-11  2.20721797e-13  6.33784981e-16  7.85912865e-14  2.42173699e-16  4.29980124e-18
 3.04402847e-03  3.04402847e-03  8.80607913e-11  2.78703061e-13  8.16017396e-16  9.94281008e-14  3.25950478e-16  5.45553461e-18
 3.25917450e-03  3.25917450e-03  1.07181035e-10  3.53490533e-13  1.06144055e-15  1.26440656e-13  4.48374617e-16  7.00914996e-18
 3.48934011e-03  3.48934011e-03  1.30622867e-10  4.50382979e-13  1.39456922e-15  1.61638956e-13  6.28268215e-16  9.13193436e-18
 3.73493881e-03  3.73493881e-03  1.59280445e-10  5.75615909e-13  1.84675748e-15  2.07426212e-13  8.91790787e-16  1.20601040e-17
 3.99767250e-03  3.99767250e-03  1.94394326e-10  7.37895844e-13  2.46364212e-15  2.67182914e-13  1.27810335e-15  1.61573091e-17
 4.27829175e-03  4.27829175e-03  2.37342475e-10  9.47830411e-13  3.30512010e-15  3.45094984e-13  1.84203537e-15  2.19441604e-17
 4.57849224e-03  4.57849224e-03  2.89947555e-10  1.21978828e-12  4.45594793e-15  4.46890697e-13  2.66401196e-15  3.02118831e-17
 4.89932960e-03  4.89932960e-03  3.54310150e-10  1.57164360e-12  6.02945266e-15  5.79817745e-13  3.85694679e-15  4.21157310e-17
 5.24256558e-03  5.24256558e-03  4.33127962e-10  2.02714046e-12  8.18348255e-15  7.53628845e-13  5.58404369e-15  5.93993784e-17
 5.60954766e-03  5.60954766e-03  5.29582269e-10  2.61617858e-12  1.11302252e-14  9.80828727e-13  8.07446525e-15  8.46320993e-17
 6.00216525e-03  6.00216525e-03  6.47684798e-10  3.37796610e-12  1.51627861e-14  1.27807144e-12  1.16558042e-14  1.21671607e-16
 6.42205877e-03  6.42205877e-03  7.92234209e-10  4.36220691e-12  2.06763620e-14  1.66688589e-12  1.67873883e-14  1.76223533e-16
 6.87130067e-03  6.87130067e-03  9.69214020e-10  5.63349977e-12  2.82126962e-14  2.17576373e-12  2.41202232e-14  2.56814489e-16
 7.35183799e-03  7.35183799e-03  1.18584494e-09  7.27400244e-12  3.85020779e-14  2.84172315e-12  3.45649473e-14  3.76057039e-16
 7.86597848e-03  7.86597848e-03  1.45106779e-09  9.38979509e-12  5.25383382e-14  3.71356314e-12  4.94032637e-14  5.52703496e-16
 8.41599941e-03  8.41599941e-03  1.77573117e-09  1.21159268e-11  7.16600686e-14  4.85488439e-12  7.04227982e-14  8.14433036e-16
 9.00449611e-03  9.00449611e-03  2.17320980e-09  1.56258761e-11  9.76778549e-14  6.34932516e-12  1.00124885e-13  1.20218467e-15
 9.63410923e-03  9.63410923e-03  2.65978723e-09  2.01404005e-11  1.33021749e-13  8.30610235e-12  1.41986845e-13  1.77616335e-15
 1.03077757e-02  1.03077757e-02  3.25548416e-09  2.59418485e-11  1.80959377e-13  1.08686236e-11  2.00849359e-13  2.62491308e-15
 1.10285412e-02  1.10285412e-02  3.98472623e-09  3.33890127e-11  2.45859143e-13  1.42243735e-11  2.83418599e-13  3.87803957e-15
 1.17732519e-02  1.17732519e-02  4.84473604e-09  4.25801466e-11  3.30173315e-13  1.84521401e-11  3.94432035e-13  5.65004926e-15
 1.25188273e-02  1.25188273e-02  5.82126324e-09  5.34662653e-11  4.34929664e-13  2.35633316e-11  5.36885440e-13  8.03533993e-15
 1.32654865e-02  1.32654865e-02  6.92224890e-09  6.62251880e-11  5.63261695e-13  2.96760022e-11  7.16759086e-13  1.11854828e-14
 1.40090915e-02  1.40090915e-02  8.14828816e-09  8.09500381e-11  7.17564177e-13  3.68719204e-11  9.39292739e-13  1.52502901e-14
 1.47523330e-02  1.47523330e-02  9.51010406e-09  9.78545276e-11  9.01587447e-13  4.52958083e-11  1.21197366e-12  2.04320534e-14
 1.55186099e-02  1.55186099e-02  1.10645361e-08  1.17761220e-10  1.12628884e-12  5.54120853e-11  1.55383226e-12  2.71802526e-14
 1.63350154e-02  1.63350154e-02  1.28975689e-08  1.41961819e-10  1.40936932e-12  6.79633006e-11  1.99615337e-12  3.62481853e-14
 1.71936894e-02  1.71936894e-02  1.50327108e-08  1.71007076e-10  1.76129283e-12  8.33502858e-11  2.56117749e-12  4.82766286e-14
 1.80695762e-02  1.80695762e-02  1.74406868e-08  2.04716323e-10  2.18380425e-12  1.01597310e-10  3.25806967e-12  6.36641217e-14
 1.89388570e-02  1.89388570e-02  2.00715026e-08  2.42541834e-10  2.67317984e-12  1.22512328e-10  4.08654349e-12  8.25960708e-14
 1.97998016e-02  1.97998016e-02  2.29249129e-08  2.84590405e-10  3.23340111e-12  1.46248594e-10  5.05889250e-12  1.05537905e-13
 2.06819880e-02  2.06819880e-02  2.61163162e-08  3.32722779e-10  3.89274917e-12  1.73983855e-10  6.23160340e-12  1.34063818e-13
 2.16034866e-02  2.16034866e-02  2.97521809e-08  3.88803026e-10  4.68202547e-12  2.06984880e-10  7.67044873e-12  1.70125031e-13
 2.25627677e-02  2.25627677e-02  3.38797544e-08  4.53874118e-10  5.62237822e-12  2.46111159e-10  9.42815347e-12  2.15492459e-13
 2.35690688e-02  2.35690688e-02  3.86019211e-08  5.29922486e-10  6.75019091e-12  2.92862689e-10  1.15906632e-11  2.72949356e-13
 2.46181370e-02  2.46181370e-02  4.39712799e-08  6.18207764e-10  8.09305179e-12  3.48386453e-10  1.42331642e-11  3.45189622e-13
 2.57165900e-02  2.57165900e-02  5.01034974e-08  7.21093736e-10  9.69716205e-12  4.14621321e-10  1.74741875e-11  4.36308303e-13
 2.68621278e-02  2.68621278e-02  5.70789820e-08  8.40448450e-10  1.16034343e-11  4.93318881e-10  2.14305753e-11  5.50636157e-13
 2.80603049e-02  2.80603049e-02  6.50371213e-08  9.79237507e-10  1.38727436e-11  5.87100372e-10  2.62709682e-11  6.94324222e-13
 2.93104755e-02  2.93104755e-02  7.40941877e-08  1.14014014e-09  1.65643866e-11  6.98584351e-10  3.21741707e-11  8.74238528e-13
 3.06174177e-02  3.06174177e-02  8.44217664e-08  1.32693292e-09  1.97592285e-11  8.31367295e-10  3.93822252e-11  1.09965201e-12
 3.19816167e-02  3.19816167e-02  9.61800744e-08  1.54332877e-09  2.35409599e-11  9.89276520e-10  4.81638682e-11  1.38127095e-12
 3.34073322e-02  3.34073322e-02  1.09583711e-07  1.79418658e-09  2.80174494e-11  1.17729639e-09  5.88682083e-11  1.73307978e-12
 3.48958901e-02  3.48958901e-02  1.24848087e-07  2.08455295e-09  3.33048153e-11  1.40095130e-09  7.18945190e-11  2.17157180e-12
 3.64512700e-02  3.64512700e-02  1.42244997e-07  2.42072822e-09  3.95472852e-11  1.66720111e-09  8.77478990e-11  2.71781421e-12
 3.80754689e-02  3.80754689e-02  1.62060170e-07  2.80949178e-09  4.69040848e-11  1.98396278e-09  1.07016999e-10  3.39697978e-12
 3.97723684e-02  3.97723684e-02  1.84640852e-07  3.25905412e-09  5.55681549e-11  2.36100407e-09  1.30433652e-10  4.24073333e-12
 4.15445293e-02  4.15445293e-02  2.10362982e-07  3.77845204e-09  6.57559104e-11  2.80962093e-09  1.58860836e-10  5.28720119e-12
 4.33958691e-02  4.33958691e-02  2.39672746e-07  4.37841624e-09  7.77252402e-11  3.34356704e-09  1.93359145e-10  6.58382941e-12
 4.53294469e-02  4.53294469e-02  2.73062297e-07  5.07092811e-09  9.17682706e-11  3.97891545e-09  2.35188292e-10  8.18798602e-12
 4.73493182e-02  4.73493182e-02  3.11107075e-07  5.87003293e-09  1.08229144e-10  4.73507329e-09  2.85884520e-10  1.01705116e-11
 4.94590049e-02  4.94590049e-02  3.54449368e-07  6.79155557e-09  1.27500004e-10  5.63487190e-09  3.47280397e-10  1.26172322e-11
 5.16627814e-02  5.16627814e-02  4.03833073e-07  7.85389060e-09  1.50039155e-10  6.70573309e-09  4.21599001e-10  1.56335231e-11
 5.39646192e-02  5.39646192e-02  4.60094783e-07  9.07788059e-09  1.76370613e-10  7.98005380e-09  5.11498803e-10  1.93471292e-11
 5.63690792e-02  5.63690792e-02  5.24197637e-07  1.04876172e-08  2.07103365e-10  9.49661477e-09  6.20192943e-10  2.39142075e-11
 5.88805857e-02  5.88805857e-02  5.97229982e-07  1.21104931e-08  2.42934983e-10  1.13013563e-08  7.51528932e-10  2.95240207e-11
 6.15040461e-02  6.15040461e-02  6.80440046e-07  1.39780524e-08  2.84672868e-10  1.34491555e-08  9.10144839e-10  3.64071287e-11
 6.42443527e-02  6.42443527e-02  7.75242608e-07  1.61262355e-08  3.33242620e-10  1.60051327e-08  1.10159773e-09  4.48427672e-11
 6.71068152e-02  6.71068152e-02  8.83256392e-07  1.85963242e-08  3.89712343e-10  1.90469729e-08  1.33257358e-09  5.51701493e-11
 6.99560478e-02  6.99560478e-02  1.00027819e-06  2.12954447e-08  4.52056548e-10  2.24852467e-08  1.59701138e-09  6.71569683e-11
 7.27986170e-02  7.27986170e-02  1.12687228e-06  2.42383891e-08  5.20673868e-10  2.63584407e-08  1.89842467e-09  8.09931130e-11
 7.58221696e-02  7.58221696e-02  1.27277207e-06  2.76556265e-08  6.01062038e-10  3.10055209e-08  2.26416484e-09  9.79859277e-11
 7.89070037e-02  7.89070037e-02  1.43406014e-06  3.14605398e-08  6.91333680e-10  3.63534990e-08  2.68966930e-09  1.17986212e-10
 8.21894826e-02  8.21894826e-02  1.62003829e-06  3.58783557e-08  7.97001295e-10  4.27739936e-08  3.20590737e-09  1.42524593e-10
 8.55687133e-02  8.55687133e-02  1.82758799e-06  4.08415392e-08  9.16639532e-10  5.02353285e-08  3.81196581e-09  1.71645239e-10
 8.68055556e-02  8.68055556e-02  1.90771500e-06  4.27656737e-08  9.63246407e-10  5.31908481e-08  4.05353297e-09  1.83328805e-10
 8.71627244e-02  8.71627244e-02  1.93136821e-06  4.33346393e-08  9.77054875e-10  5.40724991e-08  4.12577383e-09  1.86831943e-10
 8.78770620e-02  8.78770620e-02  1.97913970e-06  4.44846397e-08  1.00498934e-09  5.58619639e-08  4.27257162e-09  1.93959385e-10
 8.93057373e-02  8.93057373e-02  2.07693747e-06  4.68431749e-08  1.06239956e-09  5.95689436e-08  4.57752153e-09  2.08809339e-10
 9.12419294e-02  9.12419294e-02  2.21449654e-06  5.01699866e-08  1.14364299e-09  6.48822306e-08  5.01653225e-09  2.30286829e-10
 9.49892639e-02  9.49892639e-02  2.49776556e-06  5.70522867e-08  1.31260319e-09  7.61772925e-08  5.95656070e-09  2.76627954e-10
 9.85064949e-02  9.85064949e-02  2.78472155e-06  6.40620075e-08  1.48575486e-09  8.80694803e-08  6.95469972e-09  3.26273557e-10
 1.02986417e-01  1.02986417e-01  3.18100189e-06  7.37956521e-08  1.72768563e-09  1.05180586e-07  8.40337425e-09  3.98984809e-10
 1.07103059e-01  1.07103059e-01  3.57670092e-06  8.35673961e-08  1.97202225e-09  1.22994966e-07  9.92438973e-09  4.76001691e-10
 1.11856678e-01  1.11856678e-01  4.07285246e-06  9.58822869e-08  2.28167876e-09  1.46280296e-07  1.19286449e-08  5.78340663e-10
 1.16417561e-01  1.16417561e-01  4.58997884e-06  1.08780353e-07  2.60771911e-09  1.71581048e-07  1.41233002e-08  6.91299117e-10
 1.21494776e-01  1.21494776e-01  5.21501114e-06  1.24441678e-07  3.00556851e-09  2.03457737e-07  1.69089169e-08  8.35765798e-10
 1.26527548e-01  1.26527548e-01  5.88797422e-06  1.41378143e-07  3.43780914e-09  2.39237724e-07  2.00579199e-08  1.00026285e-09
 1.32006645e-01  1.32006645e-01  6.68362868e-06  1.61485720e-07  3.95319636e-09  2.83341126e-07  2.39659566e-08  1.20581750e-09
 1.37546420e-01  1.37546420e-01  7.55760292e-06  1.83659861e-07  4.52383537e-09  3.33854045e-07  2.84712151e-08  1.44433711e-09
 1.43489227e-01  1.43489227e-01  8.57613322e-06  2.09597970e-07  5.19380555e-09  3.95240206e-07  3.39804906e-08  1.73782179e-09
 1.49571917e-01  1.49571917e-01  9.70900193e-06  2.38549355e-07  5.94414212e-09  4.66447609e-07  4.04093937e-08  2.08230596e-09
 1.56035949e-01  1.56035949e-01  1.10172807e-05  2.72093819e-07  6.81618601e-09  5.52217948e-07  4.81972374e-08  2.50191501e-09
 1.62704021e-01  1.62704021e-01  1.24842104e-05  3.09822301e-07  7.79969922e-09  6.52539054e-07  5.73557468e-08  2.99794019e-09
 1.69748535e-01  1.69748535e-01  1.41688164e-05  3.53273698e-07  8.93514220e-09  7.72730667e-07  6.83849258e-08  3.59818487e-09
 1.77052234e-01  1.77052234e-01  1.60677496e-05  4.02383445e-07  1.02211276e-08  9.14092987e-07  8.14203654e-08  4.31082912e-09
 1.84740349e-01  1.84740349e-01  1.82411529e-05  4.58728497e-07  1.16991504e-08  1.08292836e-06  9.70613862e-08  5.16950305e-09
 1.92737833e-01  1.92737833e-01  2.06997993e-05  5.22609775e-07  1.33771904e-08  1.28225979e-06  1.15608445e-07  6.19163711e-09
 2.01137980e-01  2.01137980e-01  2.35083995e-05  5.95728997e-07  1.52998527e-08  1.51993399e-06  1.37814268e-07  7.41969932e-09
 2.09895734e-01  2.09895734e-01  2.66934450e-05  6.78794722e-07  1.74854441e-08  1.80130620e-06  1.64204311e-07  8.88377400e-09
 2.19083131e-01  2.19083131e-01  3.03281965e-05  7.73733313e-07  1.99840024e-08  2.13656118e-06  1.95761337e-07  1.06394086e-08
 2.28676805e-01  2.28676805e-01  3.44575220e-05  8.81728241e-07  2.28256109e-08  2.53428438e-06  2.33323560e-07  1.27342241e-08
 2.38540377e-01  2.38540377e-01  3.90729655e-05  1.00255991e-06  2.60029563e-08  2.99834817e-06  2.77284840e-07  1.51909098e-08
 2.49019982e-01  2.49019982e-01  4.44043420e-05  1.14224080e-06  2.96718568e-08  3.55804699e-06  3.30453702e-07  1.81670609e-08
 2.59895199e-01  2.59895199e-01  5.04215134e-05  1.29996708e-06  3.38080133e-08  4.21779505e-06  3.93285494e-07  2.16885309e-08
 2.71434684e-01  2.71434684e-01  5.73676238e-05  1.48208090e-06  3.85732758e-08  5.01348891e-06  4.69236024e-07  2.59488315e-08
 2.83473741e-01  2.83473741e-01  6.52551322e-05  1.68885628e-06  4.39687558e-08  5.95781391e-06  5.59553407e-07  3.10170280e-08
 2.96150979e-01  2.96150979e-01  7.42961552e-05  1.92577148e-06  5.01294014e-08  7.08938756e-06  6.67963961e-07  3.71000604e-08
 3.09398325e-01  3.09398325e-01  8.45816240e-05  2.19508932e-06  5.71035274e-08  8.43549702e-06  7.97108822e-07  4.43423063e-08
 3.23327596e-01  3.23327596e-01  9.63563595e-05  2.50305045e-06  6.50389643e-08  1.00472800e-05  9.51910023e-07  5.30135869e-08
 3.37912490e-01  3.37912490e-01  1.09780672e-04  2.85361350e-06  7.40197752e-08  1.19697791e-05  1.13669288e-06  6.33467073e-08
 3.53240994e-01  3.53240994e-01  1.25143555e-04  3.25400719e-06  8.42079195e-08  1.42722269e-05  1.35808492e-06  7.56982234e-08
