row_type,valid_spice_netlists_generated,run_requested,ngspice_available,execution_statuses,rows_total,discovery_rows,control_rows,ran_successfully_count,candidate_count,near_miss_count,best_case,best_name,best_cell_count,best_impedance_ohm,best_phase_lock_target,best_bridge_ratio,best_purity,best_target_growth,best_generated_cv,best_max_phase_jump,best_component_stress_score,best_component_stress_class,best_behavioral_dependency_score,best_bench_feasibility_score,best_bridge_case,best_bridge_ratio_case_value,controls_dead,max_control_leakage_score,behavioral_dependency_lower_than_tl_baseline,design_bench_buildable,recommended_next_step,case_id,name,role,netlist_file,csv_file,execution_status,convergence_failure_reason,ngspice_path,source_only_drive,direct_100mhz_drive_present,direct_150mhz_drive_present,target_frequency_injection_present,cell_count,total_length_m,cell_length_m,z0_target_ohm,source_frequency_hz,generated_frequency_hz,target_frequency_hz,source_amplitude_v,direct_generated_amplitude_v,bias_v,nonlinear_fraction,varactor_vj_v,varactor_m,varactor_rs_ohm,varactor_bv_v,varactor_ibv_a,fixed_cap_only,band_shunts,behavioral_helper_present,notes,source_fft_peak_hz,generated_fft_peak_hz,target_fft_peak_hz,source_fft_power,generated_fft_power,target_fft_power,target_band_coherent_growth,target_coherent_power,phase_lock_target,phase_lock_generated,bridge_ratio_vs_direct_reference,spectral_purity_150mhz,generated_envelope_cv,target_envelope_cv,max_phase_jump,near_slip_count,control_leakage_score,estimated_line_impedance_ohm,phase_velocity_m_s,per_cell_inductance_h,per_cell_total_capacitance_f,per_cell_fixed_capacitance_f,varactor_cjo_f,ladder_cutoff_hz,varactor_peak_voltage_v,varactor_peak_current_a,source_peak_current_a,reverse_bias_margin_v,dissipation_estimate_j,component_stress_score,component_stress_class,behavioral_dependency_score,bench_feasibility_score,promotion_category
aggregate,True,True,True,ran_successfully,22,15,6,22,0,0,d015,varactor_nltl_48cells_75ohm,48,75.0,0.8961718833832657,1.2879414175695514,0.00680203728635401,1.019061687866495,0.013622864075376538,2.422032089559072,0.37240550809233597,plausible,0.08,0.6699390733006245,d015,1.2879414175695514,True,0.09980137709284176,True,False,component selection/BOM plus stronger varactor sweep before PCB layout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spice_varactor_nltl,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d001,varactor_nltl_12cells_25ohm,discovery,varactor_nltl_12cells_25ohm.cir,varactor_nltl_12cells_25ohm_tran.csv,ran_successfully,,wsl:ngspice,True,False,False,False,12,0.38197186342054884,0.03183098861837907,25.0,50000000.0,100000000.0,150000000.0,2.0,0.0,4.0,0.82,0.75,0.5,0.85,18.0,1e-06,False,False,False,Source-only varactor-loaded NLTL discovery row.,50890830.833444454,99358288.77005821,128438763.53202647,7820.492020290178,0.15125213745739102,1.1764900476877063e-06,0.6634225218589108,5.13521030276108e-06,0.1798174885649563,0.6432455812915998,0.0009523038917253835,2.4918380694754413e-10,0.8090887090791599,0.3775646054206073,2.740909421929237,24.0,0.0,25.0,5000000.0,1.5915494309189532e-07,2.546479089470325e-10,4.583662361046587e-11,5.254968775023857e-10,50000000.00000001,1.2481649851641057,0.004483792100543152,0.19884790600916913,2.751835014835894,2.736567584581718e-09,0.3671073485776781,plausible,0.08,0.4173946057462449,not_promoted
spice_varactor_nltl,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d002,varactor_nltl_12cells_50ohm,discovery,varactor_nltl_12cells_50ohm.cir,varactor_nltl_12cells_50ohm_tran.csv,ran_successfully,,wsl:ngspice,True,False,False,False,12,0.38197186342054884,0.03183098861837907,50.0,50000000.0,100000000.0,150000000.0,2.0,0.0,4.0,0.82,0.75,0.5,0.85,18.0,1e-06,False,False,False,Source-only varactor-loaded NLTL discovery row.,50890830.833444454,99358288.77005821,150249119.60350266,20481.209360364817,1.1243312330222985,7.206342337471992e-06,0.9147916954326473,8.535457161938087e-06,0.22655687821753517,0.6983489029155107,0.001582865860157376,7.278981430254647e-10,0.6091745148041331,0.36456562844448137,2.7690114927437746,26.0,0.0,50.0,5000000.0,3.1830988618379064e-07,1.2732395447351626e-10,2.2918311805232937e-11,2.6274843875119284e-10,50000000.00000001,1.311266654228292,0.0022783214343047803,0.20897926320166949,2.688733345771708,6.439835224336518e-09,0.3856666630083212,plausible,0.08,0.44005694791800665,not_promoted
spice_varactor_nltl,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d003,varactor_nltl_12cells_75ohm,discovery,varactor_nltl_12cells_75ohm.cir,varactor_nltl_12cells_75ohm_tran.csv,ran_successfully,,wsl:ngspice,True,False,False,False,12,0.38197186342054884,0.03183098861837907,75.0,50000000.0,100000000.0,150000000.0,2.0,0.0,4.0,0.82,0.75,0.5,0.85,18.0,1e-06,False,False,False,Source-only varactor-loaded NLTL discovery row.,50884755.7795889,99346427.95062596,150231183.73021483,29729.23162907039,2.4099559484362043,2.0497979664052023e-05,1.0618943399952352,9.764982601270657e-06,0.2280377430259011,0.9158735330501825,0.0018108763586217162,1.1556609684031424e-09,0.6105237557516482,0.360362281177897,2.771133842040074,26.0,0.0,75.0,5000000.0,4.77464829275686e-07,8.488263631567751e-11,1.5278874536821962e-11,1.7516562583412854e-10,50000000.00000001,1.340218363674068,0.0015334675342361047,0.2125809185431403,2.659781636325932,7.459595663545489e-09,0.39418187166884355,plausible,0.08,0.45363185128369354,not_promoted
spice_varactor_nltl,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d004,varactor_nltl_16cells_25ohm,discovery,varactor_nltl_16cells_25ohm.cir,varactor_nltl_16cells_25ohm_tran.csv,ran_successfully,,wsl:ngspice,True,False,False,False,16,0.38197186342054884,0.023873241463784303,25.0,50000000.0,100000000.0,150000000.0,2.0,0.0,4.0,0.82,0.75,0.5,0.85,18.0,1e-06,False,False,False,Source-only varactor-loaded NLTL discovery row.,50872623.07892704,99322740.2969528,150195363.37587985,124906.20674046088,100.81364815723725,0.01326256857215739,0.8757942657177915,4.200638277351616e-05,0.072820015884054,0.9997189000228703,0.007789913057896961,9.185011896376998e-08,0.13591721589078942,0.291287456657282,2.5838074488315996,27.0,0.0,25.0,5000000.0,1.193662073189215e-07,1.9098593171027442e-10,3.43774677078494e-11,3.941226581267893e-10,66666666.66666667,1.188098371732903,0.0029343123961694272,0.41824610573931187,2.8119016282670968,1.562497276489265e-07,0.3494406975685009,plausible,0.08,0.46876512511794133,not_promoted
spice_varactor_nltl,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d005,varactor_nltl_16cells_50ohm,discovery,varactor_nltl_16cells_50ohm.cir,varactor_nltl_16cells_50ohm_tran.csv,ran_successfully,,wsl:ngspice,True,False,False,False,16,0.38197186342054884,0.023873241463784303,50.0,50000000.0,100000000.0,150000000.0,2.0,0.0,4.0,0.82,0.75,0.5,0.85,18.0,1e-06,False,False,False,Source-only varactor-loaded NLTL discovery row.,50890856.994007,99358339.84544224,150249196.83944923,165965.89363184784,158.78061317320302,0.02966732531863462,0.8525664063539261,5.419192543340363e-05,0.06727040324259305,0.9984355520017603,0.010049672447216839,1.5389681559064114e-07,0.17379762624117895,0.2958002980136546,2.592260605273097,27.0,0.0,50.0,5000000.0,2.38732414637843e-07,9.549296585513721e-11,1.71887338539247e-11,1.9706132906339466e-10,66666666.66666667,1.268834928642434,0.0014741921644584974,0.5942716777596764,2.731165071357566,2.149026712769897e-07,0.37318674371836297,plausible,0.08,0.463276209001911,not_promoted
spice_varactor_nltl,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d006,varactor_nltl_16cells_75ohm,discovery,varactor_nltl_16cells_75ohm.cir,varactor_nltl_16cells_75ohm_tran.csv,ran_successfully,,wsl:ngspice,True,False,False,False,16,0.38197186342054884,0.023873241463784303,75.0,50000000.0,100000000.0,150000000.0,2.0,0.0,4.0,0.82,0.75,0.5,0.85,18.0,1e-06,False,False,False,Source-only varactor-loaded NLTL discovery row.,50890856.994007,99358339.84544224,150249196.83944923,182099.6889290933,175.8199850564899,0.037767231516728776,0.839959985568955,5.9587156889582486e-05,0.0652859981003619,0.9969260082501004,0.011050196205652944,1.789882760449274e-07,0.19445658273079408,0.2980493976271122,2.5974975457392873,27.0,0.0,75.0,5000000.0,3.580986219567645e-07,6.366197723675814e-11,1.1459155902616468e-11,1.3137421937559645e-10,66666666.66666667,1.3109221022399413,0.0009843177785038377,0.6694641640657104,2.6890778977600585,2.3796022169129228e-07,0.38556532418821804,plausible,0.08,0.46036509329115227,not_promoted
spice_varactor_nltl,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d007,varactor_nltl_24cells_25ohm,discovery,varactor_nltl_24cells_25ohm.cir,varactor_nltl_24cells_25ohm_tran.csv,ran_successfully,,wsl:ngspice,True,False,False,False,24,0.38197186342054884,0.015915494309189534,25.0,50000000.0,100000000.0,150000000.0,2.0,0.0,4.0,0.82,0.75,0.5,0.85,18.0,1e-06,False,False,False,Source-only varactor-loaded NLTL discovery row.,50884825.374813,99346563.82701585,150231389.20182884,138744.09865351298,835.771879105426,1.9036650739696843,1.0464272143382884,2.183624917103447e-05,0.23957542307382046,0.9996223840387941,0.004049443711210905,1.1557816509237917e-05,0.013387204822720131,0.418567303061007,2.684819535821269,24.0,0.0,25.0,5000000.0,7.957747154594766e-08,1.2732395447351626e-10,2.2918311805232937e-11,2.6274843875119284e-10,100000000.00000001,1.0538973714040527,0.0018963824187109987,0.7001065975170745,2.9461026285959475,2.295683542065202e-07,0.30996981511883903,plausible,0.08,0.5466484797571268,not_promoted
spice_varactor_nltl,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d008,varactor_nltl_24cells_50ohm,discovery,varactor_nltl_24cells_50ohm.cir,varactor_nltl_24cells_50ohm_tran.csv,ran_successfully,,wsl:ngspice,True,False,False,False,24,0.38197186342054884,0.015915494309189534,50.0,50000000.0,100000000.0,150000000.0,2.0,0.0,4.0,0.82,0.75,0.5,0.85,18.0,1e-06,False,False,False,Source-only varactor-loaded NLTL discovery row.,50878773.441894054,99334748.14845982,150213521.59035388,158042.94603756798,1099.165105025719,2.9391862166464398,0.9977378300668326,2.8055090317833177e-05,0.21365786231146758,0.999420840404638,0.005202702541318431,1.5518486862565884e-05,0.032372582682149105,0.4302148809693402,2.6968156742391107,23.0,0.0,50.0,5000000.0,1.5915494309189532e-07,6.366197723675813e-11,1.1459155902616468e-11,1.3137421937559642e-10,100000000.00000001,1.0610620802452466,0.0009890680040790048,0.8468597354322427,2.9389379197547534,2.7101731048337e-07,0.31207708242507254,plausible,0.08,0.5414991664563698,not_promoted
spice_varactor_nltl,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d009,varactor_nltl_24cells_75ohm,discovery,varactor_nltl_24cells_75ohm.cir,varactor_nltl_24cells_75ohm_tran.csv,ran_successfully,,wsl:ngspice,True,False,False,False,24,0.38197186342054884,0.015915494309189534,75.0,50000000.0,100000000.0,150000000.0,2.0,0.0,4.0,0.82,0.75,0.5,0.85,18.0,1e-06,False,False,False,Source-only varactor-loaded NLTL discovery row.,50872727.27272854,99322943.7229462,150195670.99567473,165121.13556444427,1122.4332546297012,3.158280000532062,0.9653979711433421,3.2622717434910024e-05,0.20120289992921553,0.9992498620019173,0.0060497504367481286,1.5809536878396748e-05,0.05442601605002438,0.43294720455164076,2.7022727519056513,23.0,0.0,75.0,5000000.0,2.38732414637843e-07,4.2441318157838755e-11,7.639437268410981e-12,8.758281291706427e-11,100000000.00000001,1.0979419057934954,0.0006710096369859042,0.9031821150608892,2.9020580942065046,2.865220663218477e-07,0.32292408993926336,plausible,0.08,0.5368189565529643,not_promoted
