experiment,case,freqs,sum_error_hz,mean_high_mode_energy_frac,peak_high_mode_energy_frac,triad_phase_lock_0_to_1,triad_phase_mismatch_std_rad,score,note,rank_within_experiment,peak_core_energy_ratio,peak_time,final_core_energy_ratio,retention_vs_peak,final_shell_energy_ratio,sum_freq_amp_over_low_amp,high_freq_amp_over_low_amp
triad_resonator,4812_exact_sum,4-8-12,0.0,0.36244319966105804,0.9676937332743782,0.7664567806588609,0.7046065775593989,0.6402402476449693,"non-369 exact sum; tests whether resonance, not numerology, explains it",1,,,,,,,
triad_resonator,369_exact_sum,3-6-9,5.551115123125783e-17,0.37762424895963304,0.947087447638785,0.3523959799727796,1.8060428851255426,0.5106975162332476,3 + 6 = 9; target myth case,2,,,,,,,
triad_resonator,369_detuned,3-6.25-9,0.011250000000000038,0.22045391558159452,0.9470662286605536,0.16496997852020934,1.6643595876380184,0.23085140970767296,"same digits idea, broken sum resonance",3,,,,,,,
triad_resonator,357_non_sum,3-5-7,0.044999999999999984,0.03889776067844543,0.9159117409501617,0.08044093193644536,1.874403849281467,0.0289839536535589,odd-number control; 3 + 5 != 7,4,,,,,,,
triad_resonator,random_non_sum,9.684-5.911-5.372,0.46003499999999997,0.0044339728562264365,0.7944876245358206,0.060665137644083836,1.796666309706509,0.0008397618773575839,random control,5,,,,,,,
wave_lattice,369_radial_phase_locked,3-6-9,0.0,,,,,0.4906253293870185,"target: 3 rings, 3 frequencies, 120-degree phase cycle",1,0.5555980518503365,61.88,0.43374556305101863,0.7806822965014241,0.31108635460426737,0.13113624941033108,0.13113624941033108
wave_lattice,369_random_phase,3-6-9,0.0,,,,,0.4618064189302536,"same frequencies, broken phase geometry",2,0.5398212883294502,60.34,0.4344670911771844,0.8048350455405281,0.31707926922303614,0.06292611870751576,0.06292611870751576
wave_lattice,357_non_sum,3-5-7,0.05500000000000005,,,,,0.2915038607387287,nonlinear control; no f3+f5=f7 match,3,0.5305524309575184,59.080000000000005,0.4268987435237834,0.804630642729372,0.3100592908196243,0.07824689798258176,0.05840317171303346
wave_lattice,4812_exact_sum,4-8-12,0.0,,,,,0.21392305503500839,non-369 exact-sum harmonic triad,4,0.4410022402179489,12.32,0.17413193185506884,0.3948549825248411,0.4265342936713826,0.22851135203360087,0.22851135203360087
wave_lattice,single_6,6-6-6,0.33,,,,,0.025391327556326653,single-frequency control with comparable geometry,5,0.33112245876010704,13.020000000000001,0.05459135757878866,0.16486757733994228,0.3001004905944639,0.40802186692552656,0.999999877910291
